amps,cell,dur,expt,freqs,rep,spikes
40,1,25,tuning_curve,4000,1,1.56666666663341
40,1,25,tuning_curve,5656.85,1,21.6333333333409
40,1,25,tuning_curve,11313.7,1,26.8666666666491
40,1,25,tuning_curve,11313.7,1,36.3666666666518
40,1,25,tuning_curve,22627.4,1,16.6666666667084
55,1,25,tuning_curve,1000,1,1.43333333329565
55,1,25,tuning_curve,1414.21,1,21.3333333333026
55,1,25,tuning_curve,1414.21,1,29.0999999999144
55,1,25,tuning_curve,22627.4,1,22.3000000000297
70,1,25,tuning_curve,-1,1,9.76666666667825
70,1,25,tuning_curve,5656.85,1,23.8000000000511
70,1,25,tuning_curve,11313.7,1,19.4666666665739
40,1,25,tuning_curve,1414.21,2,28.5666666666771
40,1,25,tuning_curve,2828.43,2,-4.46666666670126
40,1,25,tuning_curve,4000,2,17.2666666666714
40,1,25,tuning_curve,4000,2,37.1333333333155
40,1,25,tuning_curve,5656.85,2,-6.56666666662886
40,1,25,tuning_curve,16000,2,9.63333333334049
55,1,25,tuning_curve,-1,2,22.4999999999795
55,1,25,tuning_curve,-1,2,26.8333333332862
55,1,25,tuning_curve,1000,2,1.43333333329565
55,1,25,tuning_curve,1000,2,8.23333333329401
55,1,25,tuning_curve,5656.85,2,35.4000000000383
55,1,25,tuning_curve,64000,2,9.73333333325854
70,1,25,tuning_curve,1414.21,2,-1.0000000000332
70,1,25,tuning_curve,4000,2,-7.83333333333758
70,1,25,tuning_curve,22627.4,2,-9.73333333337223
40,1,25,tuning_curve,2000,3,-10.6666666666229
40,1,25,tuning_curve,5656.85,3,32.066666666708
40,1,25,tuning_curve,5656.85,3,33.1000000000472
55,1,25,tuning_curve,-1,3,10.8666666666863
55,1,25,tuning_curve,8000,3,3.43333333336204
55,1,25,tuning_curve,16000,3,-9.73333333337223
55,1,25,tuning_curve,16000,3,-5.96666666666579
55,1,25,tuning_curve,32000,3,-10.1999999999975
55,1,25,tuning_curve,45254.8,3,9.29999999999609
70,1,25,tuning_curve,1000,3,-7.93333333336932
70,1,25,tuning_curve,45254.8,3,22.4666666667304
40,1,25,tuning_curve,1414.21,4,15.8666666665681
40,1,25,tuning_curve,2000,4,27.033333333236
40,1,25,tuning_curve,8000,4,-10.2333333333604
40,1,25,tuning_curve,16000,4,-1.56666666663341
40,1,25,tuning_curve,16000,4,16.7333333333204
40,1,25,tuning_curve,22627.4,4,8.89999999998281
40,1,25,tuning_curve,32000,4,-3.63333333331184
55,1,25,tuning_curve,1414.21,4,5.26666666672782
55,1,25,tuning_curve,2828.43,4,26.0333333333733
55,1,25,tuning_curve,8000,4,10.7666666665978
55,1,25,tuning_curve,22627.4,4,12.5666666667144
70,1,25,tuning_curve,1414.21,4,10.1999999999975
70,1,25,tuning_curve,1414.21,4,27.5333333333379
70,1,25,tuning_curve,2828.43,4,-10.1000000000226
70,1,25,tuning_curve,5656.85,4,-2.80000000003611
70,1,25,tuning_curve,5656.85,4,3.0999999999608
70,1,25,tuning_curve,16000,4,4.23333333327491
40,1,25,tuning_curve,1000,5,-10.0000000000477
40,1,25,tuning_curve,4000,5,9.76666666673509
40,1,25,tuning_curve,16000,5,37.0333333333406
40,1,25,tuning_curve,45254.8,5,-11.5999999999872
55,1,25,tuning_curve,-1,5,19.4666666666876
55,1,25,tuning_curve,-1,5,30.1000000000045
55,1,25,tuning_curve,-1,5,33.0333333333215
55,1,25,tuning_curve,1000,5,15.4333333333057
55,1,25,tuning_curve,5656.85,5,10.1999999999975
55,1,25,tuning_curve,5656.85,5,28.6000000000399
55,1,25,tuning_curve,8000,5,37.2666666666532
55,1,25,tuning_curve,11313.7,5,1.93333333339751
55,1,25,tuning_curve,16000,5,7.56666666660522
55,1,25,tuning_curve,16000,5,37.1333333333155
55,1,25,tuning_curve,64000,5,-7.6666666666938
70,1,25,tuning_curve,-1,5,30.2333333333422
70,1,25,tuning_curve,4000,5,-0.866666666695437
70,1,25,tuning_curve,45254.8,5,3.53333333333694
40,1,25,tuning_curve,1000,6,0.833333333332575
40,1,25,tuning_curve,2828.43,6,14.5333333331905
40,1,25,tuning_curve,16000,6,34.7666666665987
40,1,25,tuning_curve,64000,6,35.2000000000885
55,1,25,tuning_curve,4000,6,-7.39999999990459
55,1,25,tuning_curve,4000,6,16.3333333334208
55,1,25,tuning_curve,32000,6,5.83333333344171
55,1,25,tuning_curve,64000,6,-9.79999999998427
70,1,25,tuning_curve,1000,6,9.03333333320688
70,1,25,tuning_curve,2828.43,6,-12.2666666665623
70,1,25,tuning_curve,5656.85,6,11.4333333334002
70,1,25,tuning_curve,8000,6,32.7000000000339
70,1,25,tuning_curve,16000,6,19.8666666668146
70,1,25,tuning_curve,32000,6,9.23333333338405
70,1,25,tuning_curve,45254.8,6,17.5999999998453
40,1,25,tuning_curve,2828.43,7,7.03333333336786
40,1,25,tuning_curve,2828.43,7,11.099999999999
40,1,25,tuning_curve,4000,7,-11.6999999998484
40,1,25,tuning_curve,11313.7,7,12.0000000001141
40,1,25,tuning_curve,64000,7,22.4666666667304
55,1,25,tuning_curve,4000,7,10.0000000000477
55,1,25,tuning_curve,11313.7,7,15.3666666666936
55,1,25,tuning_curve,11313.7,7,29.7666666667169
55,1,25,tuning_curve,32000,7,8.76666666664505
55,1,25,tuning_curve,45254.8,7,15.7999999999561
55,1,25,tuning_curve,64000,7,-8.43333333347118
55,1,25,tuning_curve,64000,7,1.29999999995789
70,1,25,tuning_curve,16000,7,6.13333333325272
70,1,25,tuning_curve,16000,7,32.2666666666578
70,1,25,tuning_curve,22627.4,7,-3.99999999996226
70,1,25,tuning_curve,22627.4,7,13.0666666667025
70,1,25,tuning_curve,22627.4,7,24.5000000000459
70,1,25,tuning_curve,32000,7,-5.66666666674109
70,1,25,tuning_curve,32000,7,-3.20000000004939
40,1,25,tuning_curve,-1,8,-8.16666666656829
40,1,25,tuning_curve,11313.7,8,-3.96666666659939
40,1,25,tuning_curve,11313.7,8,30.6333333334692
40,1,25,tuning_curve,32000,8,-10.0333333334106
55,1,25,tuning_curve,16000,8,17.8999999999974
55,1,25,tuning_curve,16000,8,33.9333333333229
55,1,25,tuning_curve,32000,8,-8.06666666659339
55,1,25,tuning_curve,45254.8,8,32.9333333334603
70,1,25,tuning_curve,11313.7,8,28.4333333333393
40,1,25,tuning_curve,1414.21,9,2.66666666681203
40,1,25,tuning_curve,2828.43,9,-3.73333333340042
55,1,25,tuning_curve,8000,9,20.599999999888
55,1,25,tuning_curve,32000,9,24.3666666667082
70,1,25,tuning_curve,-1,9,36.8333333333908
70,1,25,tuning_curve,1000,9,9.13333333340915
70,1,25,tuning_curve,1000,9,36.700000000053
70,1,25,tuning_curve,5656.85,9,21.2333333333277
70,1,25,tuning_curve,11313.7,9,36.3333333332889
70,1,25,tuning_curve,32000,9,-7.466666666744
40,1,25,tuning_curve,2000,10,21.3333333333026
55,1,25,tuning_curve,-1,10,17.9666666667231
70,1,25,tuning_curve,8000,10,0.799999999856027
70,1,25,tuning_curve,11313.7,10,31.4666666666312
40,1,25,tuning_curve,16000,11,14.5666666666671
40,1,25,tuning_curve,32000,11,6.43333333340479
55,1,25,tuning_curve,-1,11,34.0000000000487
55,1,25,tuning_curve,1000,11,-5.09999999991351
70,1,25,tuning_curve,1414.21,11,30.0666666666416
70,1,25,tuning_curve,16000,11,13.7666666666405
70,1,25,tuning_curve,22627.4,11,22.5666666667053
40,1,25,tuning_curve,-1,12,-7.49999999999318
40,1,25,tuning_curve,16000,12,19.766666666726
55,1,25,tuning_curve,5656.85,12,35.7666666666887
40,1,25,tuning_curve,22627.4,13,21.0000000000719
55,1,25,tuning_curve,4000,13,17.9333333332465
55,1,25,tuning_curve,8000,13,34.1333333332159
55,1,25,tuning_curve,16000,13,33.3999999998582
70,1,25,tuning_curve,64000,13,9.56666666672845
70,1,25,tuning_curve,64000,13,14.1999999999598
40,1,25,tuning_curve,1000,14,-8.96666666665169
40,1,25,tuning_curve,64000,14,14.533333333361
55,1,25,tuning_curve,11313.7,14,35.0999999999431
55,1,25,tuning_curve,16000,14,32.4333333331879
55,1,25,tuning_curve,16000,14,34.3999999998914
70,1,25,tuning_curve,5656.85,14,-0.533333333464725
70,1,25,tuning_curve,11313.7,14,29.1666666666401
40,1,25,tuning_curve,2828.43,15,32.5333333333901
40,1,25,tuning_curve,64000,15,-5.09999999997035
40,1,25,tuning_curve,64000,15,2.7666666666164
55,1,25,tuning_curve,1000,15,33.6666666665906
70,1,25,tuning_curve,5656.85,15,9.59999999997763
70,1,25,tuning_curve,16000,15,27.2333333333563
70,1,25,tuning_curve,45254.8,15,30.0000000000864
40,1,25,tuning_curve,-1,16,12.6000000001341
40,1,25,tuning_curve,1000,16,10.900000000106
40,1,25,tuning_curve,16000,16,30.6333333334123
40,1,25,tuning_curve,32000,16,-12.3333333332312
55,1,25,tuning_curve,-1,16,30.4333333334625
55,1,25,tuning_curve,1414.21,16,21.2000000000216
55,1,25,tuning_curve,2000,16,-5.30000000014752
55,1,25,tuning_curve,5656.85,16,1.23333333328901
55,1,25,tuning_curve,8000,16,27.0333333334065
70,1,25,tuning_curve,-1,16,24.6333333335542
70,1,25,tuning_curve,-1,16,33.1000000002177
70,1,25,tuning_curve,2828.43,16,18.9333333333934
70,1,25,tuning_curve,4000,16,-2.63333333339233
70,1,25,tuning_curve,11313.7,16,24.0333333334775
70,1,25,tuning_curve,45254.8,16,9.50000000000273
40,1,25,tuning_curve,-1,17,33.3666666666659
40,1,25,tuning_curve,2828.43,17,29.2666666667856
40,1,25,tuning_curve,11313.7,17,-6.60000000004857
40,1,25,tuning_curve,22627.4,17,-11.533333333432
55,1,25,tuning_curve,64000,17,18.3666666665658
70,1,25,tuning_curve,5656.85,17,13.3333333334349
70,1,25,tuning_curve,45254.8,17,10.4000000000042
70,1,25,tuning_curve,45254.8,17,14.9666666667372
40,1,25,tuning_curve,5656.85,18,26.0333333334302
55,1,25,tuning_curve,2828.43,18,-8.73333333322535
55,1,25,tuning_curve,45254.8,18,28.1999999998561
55,1,25,tuning_curve,64000,18,9.83333333340397
70,1,25,tuning_curve,1000,18,-3.53333333316641
70,1,25,tuning_curve,1414.21,18,6.70000000025084
40,1,25,tuning_curve,5656.85,19,7.56666666677575
40,1,25,tuning_curve,5656.85,19,34.8000000002457
70,1,25,tuning_curve,-1,19,30.6000000001632
70,1,25,tuning_curve,16000,19,35.4999999998427
70,1,25,tuning_curve,64000,19,30.5333333332101
55,1,25,tuning_curve,2828.43,20,17.8999999999405
55,1,25,tuning_curve,2828.43,20,23.5333333333756
55,1,25,tuning_curve,22627.4,20,23.5333333333756
70,1,25,tuning_curve,1414.21,20,-8.50000000002638
70,1,25,tuning_curve,1414.21,20,-4.099999999994
70,1,25,tuning_curve,32000,20,24.4666666668536
40,1,25,tuning_curve,45254.8,21,10.5333333334556
55,1,25,tuning_curve,-1,21,32.8666666667914
55,1,25,tuning_curve,1414.21,21,20.0333333333447
55,1,25,tuning_curve,45254.8,21,4.23333333344544
70,1,25,tuning_curve,-1,21,25.8999999999787
70,1,25,tuning_curve,-1,21,27.2666666666055
70,1,25,tuning_curve,2000,21,4.53333333337014
70,1,25,tuning_curve,5656.85,21,3.00000000004275
40,1,25,tuning_curve,2828.43,22,-7.89999999994961
40,1,25,tuning_curve,2828.43,22,14.3999999999096
40,1,25,tuning_curve,5656.85,22,29.2666666665582
40,1,25,tuning_curve,45254.8,22,5.40000000012242
55,1,25,tuning_curve,1000,22,33.8333333332912
55,1,25,tuning_curve,4000,22,5.59999999984484
55,1,25,tuning_curve,4000,22,34.4999999998663
70,1,25,tuning_curve,-1,22,35.3333333333694
70,1,25,tuning_curve,16000,22,5.63333333332139
70,1,25,tuning_curve,16000,22,19.0333333333683
70,1,25,tuning_curve,45254.8,22,36.133333333396
70,1,25,tuning_curve,64000,22,-4.66666666659421
40,1,25,tuning_curve,1000,23,34.3333333333931
40,1,25,tuning_curve,1414.21,23,22.4666666666735
40,1,25,tuning_curve,16000,23,22.2999999999729
40,1,25,tuning_curve,32000,23,-11.766666666631
40,1,25,tuning_curve,32000,23,-7.69999999977244
40,1,25,tuning_curve,32000,23,-0.399999999785905
40,1,25,tuning_curve,64000,23,26.3999999998532
55,1,25,tuning_curve,8000,23,-0.5666666667139
55,1,25,tuning_curve,8000,23,23.0999999999995
55,1,25,tuning_curve,45254.8,23,-6.60000000004857
55,1,25,tuning_curve,45254.8,23,-0.166666666586934
70,1,25,tuning_curve,1000,23,-7.46666666657347
70,1,25,tuning_curve,1000,23,27.4333333333061
70,1,25,tuning_curve,8000,23,31.2666666667383
70,1,25,tuning_curve,11313.7,23,13.6000000001104
40,1,25,tuning_curve,1414.21,24,11.9666666668081
40,1,25,tuning_curve,8000,24,30.5666666666866
40,1,25,tuning_curve,64000,24,7.10000000015043
55,1,25,tuning_curve,1414.21,24,2.96666666679357
55,1,25,tuning_curve,32000,24,22.7333333335764
70,1,25,tuning_curve,2828.43,24,-11.6999999999052
70,1,25,tuning_curve,4000,24,32.7000000000908
70,1,25,tuning_curve,5656.85,24,17.9666666666662
40,1,25,tuning_curve,2828.43,25,11.7000000001326
40,1,25,tuning_curve,16000,25,4.80000000004566
55,1,25,tuning_curve,-1,25,13.4000000001606
55,1,25,tuning_curve,1414.21,25,11.3000000000056
55,1,25,tuning_curve,5656.85,25,29.0666666666084
70,1,25,tuning_curve,1000,25,14.7666666667874
70,1,25,tuning_curve,2828.43,25,-8.43333333330065
70,1,25,tuning_curve,4000,25,24.0666666667266
70,1,25,tuning_curve,32000,25,-8.3999999998241
40,7,25,tuning_curve,-1,1,33.3000000000538
40,7,25,tuning_curve,-1,1,143.500000000017
40,7,25,tuning_curve,1000,1,45.1333333333537
40,7,25,tuning_curve,1414.21,1,15.8000000000698
40,7,25,tuning_curve,1414.21,1,94.6666666666829
40,7,25,tuning_curve,2000,1,71.6666666666015
40,7,25,tuning_curve,2000,1,111.499999999978
40,7,25,tuning_curve,2828.43,1,57.4666666665848
40,7,25,tuning_curve,2828.43,1,116.866666666567
40,7,25,tuning_curve,4000,1,92.4666666666667
40,7,25,tuning_curve,4000,1,145.033333333288
40,7,25,tuning_curve,5656.85,1,25.1999999999839
40,7,25,tuning_curve,5656.85,1,127.900000000011
40,7,25,tuning_curve,8000,1,118.666666666627
40,7,25,tuning_curve,11313.7,1,-7.73333333336268
40,7,25,tuning_curve,11313.7,1,67.2333333333199
40,7,25,tuning_curve,11313.7,1,125.833333333333
40,7,25,tuning_curve,16000,1,2.13333333329047
40,7,25,tuning_curve,16000,1,126.566666666633
40,7,25,tuning_curve,22627.4,1,-16.6333333332886
40,7,25,tuning_curve,32000,1,-35.4666666666503
40,7,25,tuning_curve,32000,1,78.3666666666818
40,7,25,tuning_curve,45254.8,1,130.666666666741
40,7,25,tuning_curve,64000,1,18.9666666666994
40,7,25,tuning_curve,64000,1,39.6666666666761
40,7,25,tuning_curve,64000,1,142.499999999984
55,7,25,tuning_curve,-1,1,54.8999999999182
55,7,25,tuning_curve,-1,1,55.4999999998813
55,7,25,tuning_curve,-1,1,56.6999999999211
55,7,25,tuning_curve,-1,1,98.1333333332373
55,7,25,tuning_curve,-1,1,146.866666666654
55,7,25,tuning_curve,1000,1,59.3333333333135
55,7,25,tuning_curve,1414.21,1,23.466666666593
55,7,25,tuning_curve,2000,1,-22.8333333333808
55,7,25,tuning_curve,2000,1,79.5333333332451
55,7,25,tuning_curve,2828.43,1,8.93333333334567
55,7,25,tuning_curve,2828.43,1,14.5999999999731
55,7,25,tuning_curve,2828.43,1,64.7666666666851
55,7,25,tuning_curve,2828.43,1,134.733333333315
55,7,25,tuning_curve,4000,1,-36.2666666666769
55,7,25,tuning_curve,4000,1,130.466666666678
55,7,25,tuning_curve,5656.85,1,85.8333333332553
55,7,25,tuning_curve,5656.85,1,134.599999999921
55,7,25,tuning_curve,8000,1,33.299999999997
55,7,25,tuning_curve,11313.7,1,5.46666666667761
55,7,25,tuning_curve,11313.7,1,102.766666666696
55,7,25,tuning_curve,16000,1,109.333333333382
55,7,25,tuning_curve,22627.4,1,9.33333333335895
55,7,25,tuning_curve,22627.4,1,112.56666666668
55,7,25,tuning_curve,22627.4,1,145.266666666714
55,7,25,tuning_curve,32000,1,-20.0333333334015
55,7,25,tuning_curve,32000,1,117.8666666666
55,7,25,tuning_curve,45254.8,1,-10.9666666667181
55,7,25,tuning_curve,64000,1,44.466666666608
55,7,25,tuning_curve,64000,1,70.5666666665934
55,7,25,tuning_curve,64000,1,107.533333333265
70,7,25,tuning_curve,-1,1,50.2333333333809
70,7,25,tuning_curve,-1,1,146.600000000035
70,7,25,tuning_curve,1414.21,1,114.733333333334
70,7,25,tuning_curve,2000,1,0.799999999969714
70,7,25,tuning_curve,2000,1,29.5999999999594
70,7,25,tuning_curve,2828.43,1,-2.96666666673673
70,7,25,tuning_curve,4000,1,-43.6999999999443
70,7,25,tuning_curve,5656.85,1,57.1000000000481
70,7,25,tuning_curve,5656.85,1,88.9666666666926
70,7,25,tuning_curve,8000,1,18.9666666666994
70,7,25,tuning_curve,11313.7,1,80.8333333332598
70,7,25,tuning_curve,16000,1,5.29999999997699
70,7,25,tuning_curve,16000,1,147.30000000003
70,7,25,tuning_curve,22627.4,1,2.83333333328528
70,7,25,tuning_curve,22627.4,1,133.366666666632
70,7,25,tuning_curve,32000,1,85.3999999999928
70,7,25,tuning_curve,45254.8,1,-36.166666666702
70,7,25,tuning_curve,45254.8,1,91.4333333332706
70,7,25,tuning_curve,45254.8,1,143.466666666654
40,7,25,tuning_curve,-1,2,27.9999999999632
40,7,25,tuning_curve,1000,2,-42.3333333333176
40,7,25,tuning_curve,1000,2,81.5000000000055
40,7,25,tuning_curve,1000,2,90.2333333333445
40,7,25,tuning_curve,1414.21,2,83.4666666666521
40,7,25,tuning_curve,2000,2,61.8333333332544
40,7,25,tuning_curve,4000,2,111.533333333284
40,7,25,tuning_curve,5656.85,2,-10.5333333332851
40,7,25,tuning_curve,5656.85,2,83.8000000000534
40,7,25,tuning_curve,8000,2,79.5666666666648
40,7,25,tuning_curve,16000,2,2.36666666671681
40,7,25,tuning_curve,22627.4,2,123.433333333367
40,7,25,tuning_curve,32000,2,16.9999999999959
40,7,25,tuning_curve,32000,2,71.9666666666967
