amps,cell,dur,expt,freqs,rep,spikes
70,15,25,tuning_curve,4000,1,196.033333333331
70,15,25,tuning_curve,4756.83,1,143.099999999991
70,15,25,tuning_curve,9513.66,1,-26.7333333332793
70,15,25,tuning_curve,9513.66,1,115.700000000054
70,15,25,tuning_curve,16000,1,101.133333333403
70,15,25,tuning_curve,19027.3,1,113.433333333351
70,15,25,tuning_curve,38054.6,1,-19.6666666666196
70,15,25,tuning_curve,38054.6,1,6.03333333338085
70,15,25,tuning_curve,38054.6,1,35.6000000000485
70,15,25,tuning_curve,38054.6,1,189.900000000048
70,15,25,tuning_curve,45254.8,1,-44.233333333314
70,15,25,tuning_curve,53817.4,1,-6.10000000000532
70,15,25,tuning_curve,4000,2,-79.6666666666255
70,15,25,tuning_curve,4000,2,46.9666666667052
70,15,25,tuning_curve,4756.83,2,-42.1333333332825
70,15,25,tuning_curve,9513.66,2,16.3000000000295
70,15,25,tuning_curve,11313.7,2,-47.9333333333152
70,15,25,tuning_curve,22627.4,2,149.699999999992
70,15,25,tuning_curve,26908.7,2,-57.8666666666834
70,15,25,tuning_curve,26908.7,2,-46.4666666666833
70,15,25,tuning_curve,26908.7,2,8.56666666664907
70,15,25,tuning_curve,26908.7,2,193.133333333316
70,15,25,tuning_curve,32000,2,9.53333333334427
70,15,25,tuning_curve,32000,2,125.500000000011
70,15,25,tuning_curve,32000,2,150.466666666679
70,15,25,tuning_curve,38054.6,2,27.0999999999972
70,15,25,tuning_curve,38054.6,2,116.499999999995
70,15,25,tuning_curve,64000,2,-75.2999999999631
70,15,25,tuning_curve,64000,2,-25.1666666666317
70,15,25,tuning_curve,4756.83,3,-17.5666666666494
70,15,25,tuning_curve,4756.83,3,1.86666666668245
70,15,25,tuning_curve,5656.85,3,84.4333333333402
70,15,25,tuning_curve,5656.85,3,109.900000000007
70,15,25,tuning_curve,6727.17,3,52.7666666667486
70,15,25,tuning_curve,6727.17,3,154.80000000008
70,15,25,tuning_curve,9513.66,3,114.100000000082
70,15,25,tuning_curve,9513.66,3,177.866666666748
70,15,25,tuning_curve,22627.4,3,18.600000000081
70,15,25,tuning_curve,38054.6,3,17.2000000000594
70,15,25,tuning_curve,38054.6,3,23.2000000000596
70,15,25,tuning_curve,45254.8,3,16.2000000000511
70,15,25,tuning_curve,45254.8,3,138.50000000005
70,15,25,tuning_curve,53817.4,3,-76.3999999999356
70,15,25,tuning_curve,4756.83,4,47.0666666667299
70,15,25,tuning_curve,6727.17,4,-22.0000000000198
70,15,25,tuning_curve,11313.7,4,173.733333333359
70,15,25,tuning_curve,19027.3,4,127.400000000087
70,15,25,tuning_curve,26908.7,4,-59.9333333332837
70,15,25,tuning_curve,32000,4,14.2000000000166
70,15,25,tuning_curve,32000,4,173.733333333352
70,15,25,tuning_curve,38054.6,4,6.79999999999126
70,15,25,tuning_curve,38054.6,4,10.9999999999886
70,15,25,tuning_curve,38054.6,4,156.633333333325
70,15,25,tuning_curve,53817.4,4,17.7000000000618
70,15,25,tuning_curve,64000,4,112.333333333382
70,15,25,tuning_curve,4000,5,173.166666666724
70,15,25,tuning_curve,5656.85,5,-63.9999999999858
70,15,25,tuning_curve,6727.17,5,196.166666666706
70,15,25,tuning_curve,8000,5,95.4333333333324
70,15,25,tuning_curve,8000,5,113.966666666663
70,15,25,tuning_curve,9513.66,5,-75.8333333333567
70,15,25,tuning_curve,11313.7,5,183.766666666685
70,15,25,tuning_curve,38054.6,5,24.7333333333515
70,15,25,tuning_curve,45254.8,5,-48.7999999999431
70,15,25,tuning_curve,64000,5,119.533333333358
70,15,25,tuning_curve,4756.83,6,-63.2666666666637
70,15,25,tuning_curve,4756.83,6,90.2333333333374
70,15,25,tuning_curve,5656.85,6,113.533333333329
